LOGISTICA | FCC LOGISTICA PORTUGAL, SA
LSIMOES | LS GESTď EMPRESARIAL E IMOBILIIA, SA
MADRAGOA;MEDEIA-MADRAGOA;"MADRAGOA FILMES; MADRAGOA FILMES-SOC.PROD.FILMES; MEDEIA FILMES, AS"
MAKRO | "MAKRO CASH & CARRY PORTUGAL, AS; MAKRO CASH & CARRY, AS"
MAROPE | MAROPE LISBOA - HOTʉS DE PORTUGAL S.A.
MARQUESSOARES | MARQUES SOARES SA
MARTOLAR | MARTOLAR-MATERIAIS CONSTRUȁO LDA
MCAPITAL | MED CAP TECHOLOGIES SA
MCARVALHO | MANUEL CARVALHO SA
MCDONALDS | SISTEMAS MCDONALD'S  PORTUGAL
MCOUTINHO | "M. COUTINHO SGPS SA.; SANTANA & COMPANHIA, S.A."
MEDICINALIA;MEDICINALIA;MEDICINALIA SOCIEDADE EQUIPAMENTOS HOSPITALARES SA
MER;DAIMLERCRHYSLER A40;MERCEDES-BENZ PORTUGAL, LDA
MESTREMACO | MESTRE MACO SA
MITSUBISHI | AUTO MECANICA ALCAMBAR FUNDAO* OR RIA TRANSPORTES* OR MITSUBISHI MOTORS PORTUGAL* OR SABRA* 
MONIZMAIA | MONIZ DA MAIA,SERRA & FORTUNATO-EMPREITEIROS,SA
MOTAENGIL;GRUPO MOTA ENGIL;
MOURASTOCK | MOURASTOCK INVESTIMENTOS TURISTICOS E HOTELEIROS S A
MOVICORTES;MOVICORTES;MOVICORTES-SERVIȏS GESTď, LDA
MOVIFLOR;MOVIFLOR;"MOVIFLOR 2 COMERCIO DE MOVEIS E ELECTRODOMESTICOS; MOVIFLOR 4 COMʒCIO DE MOBILIIO AS; MOVIFLOR 3 COMʒCIO MOBILIIO AS; MOVIFLOR 5 MԖEIS E DECORAȕES, AS; MOVIFLOR 6-COMERCIO DE MOBILIARIO, AS; MOVIFLOR 7 COMʒCIO DE MOBILIIO, AS"
MRGOUVEIA | MANUEL RODRIGUES GOUVEIA SA
MTAVIRA | MUNICIPIO DE TAVIRA
MULTIOPTICAS | MULTIOPTICAS
MUNDICENTER;MUNDICENTER;"MUNDICENTER CONSULTORIA E SERVIȏS, AS; MUNDICENTER II-GESTď ESPAȏS COMERCIAIS, AS; (C) LISCENTER-CENTROS COM.LISBOA,LDA.;MUNDICENTER-SGPS, S.A,"
NATURA | NATURA INVICTA IMPORTACAO EXPORTACAO BRINDES LDA
NAV | EMPRESA PUBLICA NAV.AEREA PORTUGAL*NAV*
NESTLE | NESTLE
NMC | NMC - CENTRO MEDICO NACIONAL, S.A.
NORCAR;EVICAR;"NORCAR - COM. INDUST. AUTOMOVEL, LDA.; SOCARVIL-SOCIEDADE AUTOMOVEIS VISEU, LDA; SCHMITZ CARGOBULL PORTUGAL, UNIPESSOAL LDA"
NUCASE | NUCASE - CONTABILIDADE ASSISTENCIA FISCAL, LDA
OFFICESHARE | "EDIMPRESA - EDITORA, LDA; SOJORNAL SOCIEDADE JORNALΓTICA E EDITORIAL SA"
OREY | "SADOMATITIMA-AG.NAV.TRANSITOS,LDA; OREY COMERCIO E NAVEGAÇÃO, AS"
OSOL | O SOL ESSENCIAL
PAMARELAS | PAGINAS AMARELAS , SA
PANIKE | PANIKE INDUSTRIA PRODUTOS ALIMENTARES CONGELADOS SA
PEUGEOT | PEUGEOT PORTUGAL AUTOMOVEIS, SA
PHONEHOUSE | CARPHONE WAREHOUSE
PINTOCRUZ | PINTO & CRUZ
PORTOEDITORA;PORTO EDITORA;"PORTO EDITORA, LDA; BLOCO GRICO, LDA.; LIVRARIA ARNADO, LDA; AREAL EDITORES, LDA"
PRESSLIVRE;INVESTEC/COFINA;"INVESTEC/COFINA EDISPORT-SOC.PUBLIC.DESPORTIVAS, AS; EDIREVISTAS SOCIEDADE EDITORIAL S.A;MEDIAFIN - SOCIEDADE EDITORA LDA; PRESSELIVRE-IMPRENSA LIVRE, AS"
PRICEWATER | PRICEWATHERHOUSECOOPERS AUDITORES E CONSULTORES LDA
PRIMEDRINKS | PRIMEDRINKS-COMERCIALIZAȃO BEBIDAS ALCOԌICAS E PROD. ALIMENTARES, SA
PROSEGUR | PROSEGUR-COMPANHIA SEGURANCA, LDA
PTCOM | PT.COM
PTCONTACT | PT CONTACT TELEMARKETING E SERVIȏS INFORMAȃO SA
PTINOV | PT INOVAÇÃO SA
PURATOS | PURATOS*
RANGEL;RANGEL;RANGEL TRANSITARIOS, SA
REDITUS | REDITUS II - TELECOMUNICAȕES SA
RELOPA | RELOPA-ELECT.TERMICA VENTILAȃO,S.A.
RENAULTCHELAS | RENAULT CHELAS, LDA
RENAULTNET | "CMC IN2 SOCIEDADE DE COMERCIALIZAȃO DE EQUIPAMENTOS INFORMICOS AS; MERCAR SOCI PORTUGUESA COME REPARA AUTOMOVEIS LDA; AUTO SOG COMERC ACES AUTOMOVEIS; RENAULT PORTUGUESA, AS"
RESOPRE | RESOPRE SOCIEDADE REVENDEDORA APARELHOS PRECISAO SA
REVIGRES | REVIGRES-INDUSTRIA REVESTIMENTOS GRES, LDA
RICON | "DELVESTE COMERCIO DE VESTUARIO SA; DECʎIO-CONCEPȃO E DISTRIBUIȃO DE MODA, SA; DELOS FRADELOS CONFECCOES LDA; RICON SERVIȏS SERVIȏS PARTILHADOS DE GESTď SA; DELCON INDUSTRIA CONFECCOES LDA"
RIG | PT-SGPS,SA
RIGOR | RIGOR CONSULTORIA E GESTď SA
RNA | RNA- REDE NACIONAL DE ASSISTˎCIA SA
RNEEXPRESSOS | RNE - REDE NACIONAL DE EXPRESSOS
ROLEAR | ROLEAR AUTOMATIZACOES ESTUDOS REPRESENTAȕES SA
SAGE | SAGE PORTUGAL - SOFTWARE, SA
SALTITUDE | SOCIEDADE ALTITUDE SOFTWARE - SISTEMAS E SERVIȏS SA
SAMECA | SAMECA-INVESTIMENTOS GESTď, SA
SANTOGAL;SANTOGAL;NACIONALCAR*
SCHNEIDER | SCHNEIDER ELECTRIC PORTUGAL APARELHAGEM ELʃTRICA LDA
SECIL | "SECIL MARTINGANCA-AGLOM.P/CONSTR.LDA; SECIL PREBETAO-PREFABRICADOS BETAO, AS; SECIL COMPANHIA GERAL CAL CIMENTO AS; SECIL BRITAS, AS; SECIL BETď INDUSTRIAS BETď AS; LISCONCRETO BETď PRONTO, AS; UNIBETď-IND.BETď PREPARADO, LDA; BETOPAL-BETOES PREPARAD"
SECURITAS | SECURITAS 
SGPICE | SGPICE-SOCIEDADE DE SERVIȏS DE GESTď DE PORTAIS NA INTERNET E DE CONSULTORIA DE EMPRESAS SA
SIBS | SIBS PROCESSOS - SERVICOS INTERBANCARIOS DE PROCESSAMENTOS SA
SGS | SGS PORTUGAL-SOC.G.SUPERINTEN., LDA
SIKA | SIKA PORTUGAL- PRODUTOS CONSTRUȁO E INDUSTRIA SA
SIRAVOC | SIRAVOC
SMASSINTRA | SERVIȏS MUNICIPALIZADOS DE UA E SANEAMENTO DE SINTRA
SNACIONAL | SN SEIXAL - SIDERURGIA NACIONAL SA
SOGEVINUS | SOGEVINUS FINE WINES SA
SOGRAPE;SOGRAPE;"SOGRAPE VINHOS, AS; SANDEMAN & COMPANHIA AS"
SOJORMEDIA | SOJORMEDIA - COMUNICACAO SOCIAL SA
SOLVERDE | SOLVERDE SOC INV TURIST COSTA VERDE SA
SONICEL | B.F.-GESTAO DE EMPRESAS, S.A.
SOPRATTUTTO  | SOPRATTUTTO CAFɠ
SORTICO;NUTASA;SORTICO-SOC.INFORMAT.CONTAB.SERVICOS, SA
SOUSALIMA;SOUSA LIMA;
SOVENA | SOVENA-COM.IND.PROD.ALIMENTARES, SA
SPORTINVESTE | SPORTINVESTE MULTIMʄIA S.A.
STET | STET-SOC.TECNICA EQUIP.
TECHNOEDIF | 
TECNIMEDE | TECNIMEDE-SOC.TECNICO-MEDICINAL, LDA
TELEPIZZA | TELEPIZZA PORTUGAL, SA
TEMPUS | TEMPUS DISTRIBUIȃO SOCIEDADE COMERCIAL RELOJOARIA SA
TENSAI | FIRMOFRIO INDUSTRIA COMERCIO FRIO SA
THYSSENKRUPP | THYSSENKRUPP PORTUGAL- AȏS E SERVIȏS, LDA
TMG | TEXTIL MANUEL GONȁLVES, SA
TMN | TMN-TELECOMUNIC.MOVEIS NACIONAIS, SA
TRANSDEV | TRANSDEV MOBILIDADE SA
TRANSNAUTICA | TRANSNAUTICA TRANSP.NAVEGACAO, SA
TORRESTIR;TORRESTIR;TORRESTIR TRANSPORTES NACIONAIS INTERNACIONAIS SA
TOYSRUS | "TOYS ""R"" US PORTUGAL"
UNITED | UNITED INVESTIMENTS E TURISTICOS SA
UNOR | "NORBOX EMBALAGENS, AS; UNOR EMBALAGENS AS"
VAA;VISTA ALEGRE;"VISTA ALEGRE ATLANTIS, S. ʻ VISTA ALEGRE-LOUCAS,VIDROS,ULIL.,LDA; CEREXPORT-CERAMICA EXPORTAȃO, AS; ATLANTIS  - CRISTAIS DE ALCOBAȁ , AS; CASA ALEGRE PORCELANAS FAIANȁS LDA"
VARANDOTEIS | VARANDOTEIS-GEST.ESTABELECIMENTOS HOTELEIROS
VARZIMSOL | VARZIM SOL - TURISMO JOGO E ANIMAȃO* | 
VAUNER | VAUNER TRADING  SA | 
VETOQUINOL | VETOQUINOL UNIPESSOAL LDA | 
VESAUTO | VESAUTO AUTOMԖEIS E REPARAȕES SA, BANIX-VEICULOS TRANSPORTE, SA | 
VGONȁLVES | VASCONCELOS & GONȁLVES LDA | 
VIGIA | VIGIA - SOCIEDADE GESTORA PARTICIPAȕES SOCIAIS | 
VILAGALE | VILA GALɠSOCIEDADE EMPREENDIMENTOS TURISTICOS SA | 
YAZAKI | YAZAKI SALTANO OVAR | 
WIPRO | WIPRO PORTUGAL SA | 
ZAGOPE | ZAGOPE* | 
ADSI | ADSI ASSOCIAȃO DESENVOLVIMENTO SOCIEDADE DE INFORMAȃO | 
AGUASAVE | AGUAS DO AVE* | 
AMB3E | AMB 3E A.P.GESTď RESI.EQUIP.ELECT. ELECTRONICOS | 
AMO | ASSOCIACAO MUNICIPIOS OESTE | 
AMPER | AMPER-CENTRAL SOLAR SA
ANADICAR | ANADICAR VEICULOS AUTOMOVEIS LDA
APAJP | APAJP-ASSOCIAȃO PORTUGUESA ADM.JUNTAS PORTUARIAS 
APTG | APTG SA ADMINISTRACAO PORTOS TERCEIRA GRACIOSA SA
ATLANTICOLINE | ATLANTICOLINE
AXAVIERLIMA | ANTԎIO XAVIER DE LIMA
BELTICO | BELTICO-EMPREENDIMENTOS TURISTICOS, SA
BENSAUDE | "(C) BENSAUDE AS; BENSAUDE, AS"
BFAUSTINO | BALBINO & FAUSTINO LDA
CACIFO | CACIFO-COMERCIO DE ARTIGOS DESPORTO LDA
CHTMAD | CENTRO HOSPITALAR TR-OS-MONTES ALTO DOURO E.P.E.
CICCOPN | CICCOPN-CENTRO FORM.PROF.IND.CONST.CIVIL NORTE
CLINICASDENTAL | CLINICAS DENTAL GROUP
COSIMPOR | COSIMPOR IMPORTAȃO E COMʒCIO AUTOMԖEL LDA
CRITICALSOFTW | CRITICAL SOFTWARE SA
DECON | ST SF SOCIEDADE PUBLICAȕES LDA
DIERRE | DIERRE IBʒICA - INDۓTRIA DE PORTAS SA
EMPILHADORESPT | EMPILHADORES DE PORTUGAL
ENERCONPOR | ENERCONPOR ENERGIAS RENOVEIS DE PORTUGAL SOCIEDADE UNIPESSOAL LDA
ERICHB | ERICH BRODHEIM, LDA
EXPOTEL | EXPOTEL-EXPLORAȃO E ADM.HOTELEIRA, LDA
EXPRESSO24;EXPRESSO 24;"EXPRESSO 24 TRANSPORTES, AS;"
EXTRUVERDE | EXTRUVERDE EXTRUSď DE  ALUMΎIO
FCP | FUTEBOL CLUBE PORTO FUTEBOL SAD
FPC | FUNDAȃO PORTUGUESA DAS COMUNICAȕES
FRAAE | "DIRECCAO REGIONAL DA CIENCIA E TECNOLOGIA; APTO-ADM DOS PORTOS TRIÎGULO E GRUPO OCIDENTAL"
GFERREIRA | GEMEOS FERREIRA SA
GLS | GENERAL LOGISTICS SYSTEMS PORTUGAL LDA
GONFIRPE | "GONFIRPE SGPS S.; MULTIAUTO SOCIEDADE SETUBALENSE AUTOMOVEIS LDA; AUTO ZARCO COMERCIO AUTOMOVEIS LDA; MIRANDA & FELGUEIRAS LDA; MULTICOMPUTER - SOLUȕES INFORMICAS LDA"
GUSTASIDE | GUSTASIDE SUCURSAL EM PORTUGAL
GOLDENAGE | MADEIRA GOLDEN AGE RESIDENCE EXPLORAȃO TURΓTICA SA
HGAIA | MS-CENTRO HOSPITALAR VILA NOVA GAIA
HPALGARVE | HOSPITAL PARTICULAR ALGARVE SA
IBEROLINHAS;IBERO LINHAS;IBERO LINHAS TRANSPORTES, LDA
IDREGIONAL | INSTITUTO DESENVOLVIMENTO REGIONAL
INSULAC | INSULAC PRODUTOS LTEOS AȏREANOS SA
INTERMARCHE | ITMI NORTE SUL PORTUGAL
LABETO | LABETO CENTRO DE ANALISES BIOQUIMICAS SA
MCUNHA | M CUNHA SA
MEMORANDUM | "MEMORANDUM*; CISION PORTUGAL*"
MENDESIRMAOS | MENDES E IRMďS, LDA
MMONTE | "MOSPAG MONTE SERVIȏS PARTILHADOS DE ADMINISTRAȃO E GESTď SA;MENDES PEIXOTO, AS; SOCIEDADE EMPREITADAS ADRIANO, AS; LARLIMA SOCIEDADE IMOBILIARIA SA"
MONJARDINO | JOSɠMONJARDINO, S.A.
NASAMOTOR | NASAMOTOR VEICULOS E PEȁS SA
NICOS | NICOS - PERICOFRAGENS
